date,index_all_shortage,energy_shortage,food_shortage,industry_shortage,labor_shortage,index_can,index_deu,index_fra,index_gbr,index_jpn,index_usa
1912m1,33.238205,3.9687409,14.386686,12.402315,2.4804633,92.822983,34.640697,21.80286,26.25495,8.1202841,27.728296
1912m2,31.157078,5.7121305,7.2699847,14.539969,3.6349924,72.871803,36.260132,34.233196,51.038658,42.499512,26.047697
1912m3,62.37466,20.940065,10.6928,28.068596,2.6731999,76.416008,97.775192,48.952049,124.63277,21.878115,48.527683
1912m4,34.128716,6.5246081,10.539751,10.037858,7.0265007,39.128445,30.039185,16.543333,49.329281,8.2152262,30.210377
1912m5,38.631382,1.5875909,14.288319,15.87591,6.8795609,57.759968,26.394487,29.072214,40.00993,8.6621532,35.646019
1912m6,32.741043,0,7.1621037,12.277891,13.301049,47.860291,10.206302,11.241734,23.206743,33.495079,29.327047
1912m7,69.641869,4.5750132,20.333393,21.35006,23.3834,103.03973,60.849487,33.511341,69.178757,41.603352,45.168674
1912m8,108.00786,8.2685442,24.288849,49.094479,26.355984,193.38902,87.636261,62.45863,66.421455,42.294857,73.322975
1912m9,112.82245,9.279768,22.466808,59.097473,21.978399,182.77058,73.080353,101.95954,99.700577,55.961594,72.096901
1912m10,115.06624,9.8769302,9.3830843,64.693893,31.112331,146.30431,54.188923,59.686401,59.739605,8.083519,77.85392
1912m11,115.10396,16.095045,15.607317,67.306557,16.095045,174.91119,77.843803,85.741081,51.624599,47.900272,76.88945
1912m12,82.223427,7.8971648,12.542556,44.131218,17.652487,137.62186,41.705242,35.728195,35.121471,15.207603,63.913021
1913m1,32.093636,4.8626719,5.3489394,16.046818,5.835207,90.984573,43.655937,42.742081,18.382111,0,27.179121
1913m2,34.928333,14.680023,9.6179466,5.0620766,5.568285,31.571865,15.148717,27.809263,72.716461,24.857559,27.568184
1913m3,37.197807,2.1881065,15.754366,12.253396,7.0019407,61.411892,26.192413,24.041368,26.46908,21.489592,29.477598
1913m4,33.582508,4.256938,10.405848,14.189793,4.7299309,44.250439,0,36.378399,17.880318,15.484361,24.403557
1913m5,26.947033,4.6460404,3.7168322,10.221289,8.3628731,36.22134,0,5.1047406,24.588463,22.81459,19.309753
1913m6,28.897259,3.8529677,12.040525,7.7059355,5.2978306,22.528807,4.8043127,15.875134,7.282589,0,18.636528
1913m7,27.181734,.98842669,11.366907,10.872693,3.9537067,23.11784,9.859849,10.860133,22.418993,24.26857,17.707216
1913m8,60.830616,2.9434171,29.43417,21.094488,7.3585424,76.491302,53.829338,48.510281,48.216347,24.089638,38.668652
1913m9,56.55328,3.53458,27.26676,21.71242,4.0395198,102.35159,60.443115,66.575089,72.534355,33.06041,49.932652
1913m10,43.063801,3.7858288,15.616544,18.929144,4.732286,44.272472,28.323576,20.798008,35.778439,15.492071,33.910702
1913m11,35.4361,5.5951738,13.987934,13.055405,2.7975869,58.161263,23.255632,30.737909,45.827492,7.6320429,32.743435
