DAY,N10D,GPRD,GPRD_ACT,GPRD_THREAT
19851130,393,131.73087,103.65454,140.7683
19851201,728,75.853821,55.956371,75.991676
19851202,487,77.956543,59.74807,68.158447
19851203,514,26.858744,22.643822,21.526047
19851204,548,81.875061,106.19456,70.66671
19851205,667,46.56992,43.624153,41.470718
19851206,573,78.302849,50.780647,77.238312
19851207,376,91.791191,92.863762,73.566414
19851208,811,89.36908,50.229641,109.14317
19851209,520,92.920929,100.72147,53.194176
19851210,496,83.500366,70.396721,122.68979
19851211,591,81.757835,49.234028,102.96808
19851212,579,71.53054,80.407082,95.547394
19851213,567,42.609241,51.318012,39.027824
19851214,379,91.064606,46.064346,131.37137
19851215,782,66.202339,74.417679,91.967422
19851216,508,54.351948,80.189438,43.560585
19851217,483,71.456497,72.291458,80.176727
19851218,548,81.875061,148.67239,60.571468
19851219,618,89.355309,112.99927,98.469475
19851220,572,126.71036,172.95605,125.73169
19851221,358,86.765747,97.53289,77.265282
19851222,648,37.283089,62.864563,51.224022
19851223,480,93.47403,109.11492,161.35567
19851224,413,83.567764,98.634956,80.370857
19851225,269,115.47263,108.16844,123.39467
19851226,438,165.47562,132.86444,138.93639
19851227,467,96.076088,87.22963,71.077438
19851228,338,296.12161,430.43362,163.67439
19851229,641,75.38047,90.787239,77.67511
19851230,437,221.13905,292.97064,139.25432
19851231,398,225.46498,336.3006,138.99985
19860101,314,252.8058,389.19971,176.18452
19860102,452,145.07881,205.99866,36.718102
19860103,451,168.35846,232.26234,110.39855
19860104,340,172.56743,273.85706,162.71159
19860105,591,140.15628,226.47655,112.32881
19860106,381,153.99718,198.56433,116.16156
19860107,437,173.75211,199.75272,265.84915
19860108,484,128.35594,216.42628,182.88245
19860109,502,171.87991,278.22131,198.36554
19860110,486,205.94467,299.35504,250.42854
19860111,345,130.05081,101.20804,192.42413
19860112,577,119.63081,161.37157,191.75717
19860113,447,177.58617,234.34076,173.26782
19860114,455,144.12225,140.69029,133.74536
19860115,504,130.11037,127.01208,131.71892
19860116,536,186.73341,130.28647,247.71019
19860117,528,150.34283,132.26051,178.11989
19860118,356,184.20119,212.50845,170.93858
19860119,554,68.528587,105.04445,69.901367
19860120,447,169.86504,130.18932,185.64409
19860121,422,57.249863,27.580391,91.766258
19860122,483,121.47604,60.242882,160.35345
19860123,540,102.26218,107.76782,92.203239
19860124,493,84.008492,94.433464,67.328934
19860125,375,211.68271,186.22281,265.54532
19860126,619,66.908218,84.612534,71.498474
19860127,419,131.79375,152.77824,118.82994
19860128,440,133.34756,79.3563,201.17068
19860129,519,146.29994,134.55403,149.23067
19860130,535,51.608955,43.509998,41.362202
19860131,524,92.211601,133.27013,84.460983
19860201,360,57.52248,32.330345,76.836029
19860202,572,84.473564,91.564972,87.045021
19860203,453,91.426453,77.078972,73.274094
19860204,429,88.496124,135.65179,38.686672
19860205,510,148.88171,159.74994,141.01672
19860206,544,107.85464,53.487705,142.37265
19860207,497,48.610542,35.127541,77.918228
19860208,357,87.008789,65.204063,92.978058
19860209,604,45.713226,48.174355,73.274094
19860210,434,71.571747,67.044502,76.481949
19860211,436,79.15937,80.084343,88.819633
19860212,499,103.74796,104.96024,77.605934
19860213,543,82.628975,64.303452,101.88203
19860214,492,49.104557,59.140873,44.977188
19860215,345,130.05081,185.54808,32.07069
19860216,598,86.572296,116.7785,64.758125
19860217,346,89.774963,117.73479,47.966999
19860218,408,109.96945,185.42406,40.677898
19860219,462,74.704521,113.36614,35.92334
19860220,515,107.22637,79.099487,107.42125
19860221,512,134.81831,159.12592,97.245598
19860222,373,138.79419,124.81421,163.14781
19860223,598,126.97269,136.24159,92.511604
19860224,460,157.56157,139.16106,132.2916
19860225,462,141.93858,125.96239,107.77001
19860226,515,100.52472,112.99927,75.19487
19860227,594,81.344917,68.579521,55.880749
19860228,534,122.80079,163.46805,62.159485
19860301,372,83.500366,109.50601,59.485958
19860302,620,89.067062,84.476067,53.537365
19860303,431,128.12431,135.02232,115.52146
19860304,460,30.011726,75.906029,12.026508
19860305,483,78.602142,60.242882,91.630547
19860306,534,90.484795,108.97869,82.879311
19860307,532,77.849968,65.633034,72.79203
19860308,348,59.506012,100.33556,31.79422
19860309,605,62.751793,96.189453,54.864735
