date,finance,energy,telecom,transport,trade,health,housing,agriculture,finance_regulation,energy_regulation,telecom_regulation,transport_regulation,trade_regulation,health_regulation,housing_regulation,agriculture_regulation
1960-03-25,439.28,0.0,0.0,0.0,392.07,0.0,0.0,0.0,113.07,0.0,0.0,395.78,184.95,0.0,0.0,0.0
1960-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1084.6,0.0,0.0,0.0,454.1,282.94,0.0,0.0,385.1
1960-03-27,283.08,0.0,0.0,203.1,0.0,0.0,0.0,0.0,83.28,0.0,0.0,83.28,0.0,0.0,0.0,0.0
1960-03-28,362.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.63,0.0,270.05,0.0
1960-03-29,0.0,0.0,0.0,480.95,0.0,0.0,0.0,0.0,197.2,0.0,0.0,197.21,0.0,0.0,0.0,0.0
1960-03-30,0.0,0.0,0.0,509.48,362.16,0.0,0.0,0.0,0.0,139.49,0.0,0.0,170.85,0.0,0.0,0.0
1960-03-31,0.0,0.0,0.0,985.56,0.0,0.0,0.0,0.0,0.0,134.92,0.0,303.09,0.0,0.0,0.0,0.0
1960-04-01,296.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.03,0.0,0.0,166.61,0.0,0.0,0.0
1960-04-02,0.0,0.0,0.0,639.56,0.0,0.0,0.0,0.0,98.34,0.0,0.0,0.0,500.42,0.0,284.41,0.0
1960-04-03,71.25,0.0,0.0,178.93,0.0,0.0,398.95,0.0,27.51,0.0,0.0,55.02,120.0,0.0,185.66,0.0
1960-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-05,0.0,0.0,0.0,1515.6,0.0,0.0,0.0,0.0,129.47,0.0,0.0,310.73,0.0,0.0,0.0,307.44
1960-04-06,0.0,351.01,0.0,0.0,263.8,0.0,0.0,1431.06,0.0,0.0,258.73,0.0,0.0,0.0,0.0,338.75
1960-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.39,0.0,0.0,172.79,0.0,0.0,0.0,0.0
1960-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.72,0.0,0.0
1960-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0
1960-04-10,0.0,0.0,182.34,0.0,0.0,0.0,0.0,0.0,0.0,50.8,0.0,209.23,124.44,0.0,82.51,112.92
1960-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-12,0.0,0.0,0.0,361.07,385.0,0.0,0.0,0.0,111.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-13,0.0,0.0,0.0,1083.22,0.0,0.0,0.0,0.0,0.0,148.29,0.0,166.56,242.16,0.0,240.85,329.59
1960-04-14,0.0,0.0,0.0,522.77,0.0,0.0,0.0,0.0,0.0,143.13,0.0,482.31,233.74,130.94,0.0,0.0
1960-04-15,0.0,516.94,0.0,0.0,0.0,771.9,0.0,0.0,112.05,149.63,0.0,168.08,0.0,0.0,0.0,0.0
1960-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1515.25,0.0,0.0,0.0,0.0,263.53,147.63,349.47,0.0
1960-04-17,0.0,0.0,0.0,131.41,93.41,0.0,0.0,0.0,40.41,53.97,0.0,121.24,132.2,65.83,87.66,0.0
1960-04-18,0.0,531.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.2,172.79,0.0,0.0,0.0,0.0
1960-04-19,0.0,481.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.49,236.8,0.0,0.0,0.0,0.0,0.0
1960-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0
1960-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.1,0.0,0.0,314.02,187.65,0.0,0.0
1960-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-23,0.0,0.0,0.0,389.12,0.0,1236.54,0.0,0.0,119.66,0.0,0.0,179.5,0.0,0.0,951.73,355.19
1960-04-24,0.0,0.0,0.0,140.14,0.0,0.0,0.0,0.0,43.09,0.0,130.27,0.0,70.49,0.0,249.28,127.92
1960-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-26,0.0,0.0,0.0,0.0,341.88,0.0,0.0,0.0,0.0,0.0,298.06,0.0,0.0,0.0,0.0,0.0
1960-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.12,0.0,0.0,228.25,0.0,185.91,0.0,0.0
1960-04-28,0.0,0.0,0.0,1596.08,0.0,0.0,0.0,0.0,81.8,145.66,0.0,327.23,0.0,0.0,236.59,0.0
1960-04-29,326.46,0.0,0.0,0.0,388.5,0.0,0.0,0.0,84.03,0.0,0.0,0.0,366.54,0.0,0.0,0.0
1960-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.69,0.0,190.6,277.11,155.24,0.0,0.0
1960-05-01,0.0,0.0,196.28,133.15,236.63,0.0,0.0,0.0,0.0,0.0,92.83,0.0,66.98,0.0,148.03,0.0
1960-05-02,122.15,0.0,0.0,0.0,0.0,0.0,0.0,2102.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.31
1960-05-03,0.0,580.24,0.0,613.46,0.0,0.0,0.0,0.0,94.32,0.0,0.0,0.0,0.0,0.0,0.0,995.51
1960-05-04,0.0,0.0,0.0,354.68,378.19,0.0,0.0,0.0,0.0,0.0,329.71,163.61,0.0,0.0,236.59,0.0
1960-05-05,0.0,0.0,0.0,400.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.6,150.59,0.0,0.0
1960-05-06,0.0,0.0,0.0,509.48,0.0,0.0,0.0,0.0,78.34,0.0,0.0,156.68,227.79,127.61,0.0,0.0
1960-05-07,366.44,0.0,0.0,408.97,0.0,0.0,0.0,0.0,251.53,0.0,0.0,0.0,205.71,0.0,0.0,746.63
1960-05-08,100.87,0.0,0.0,0.0,120.04,0.0,251.03,434.14,25.97,0.0,0.0,0.0,113.26,0.0,0.0,205.53
1960-05-09,0.0,611.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.98,0.0,0.0,0.0,215.89,0.0,393.39
1960-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,195.73,0.0,0.0,0.0
1960-05-11,0.0,0.0,0.0,927.76,0.0,0.0,0.0,0.0,0.0,203.21,0.0,171.19,0.0,0.0,0.0,1129.16
1960-05-12,190.0,0.0,0.0,318.09,0.0,0.0,0.0,0.0,97.82,0.0,0.0,342.38,0.0,119.51,0.0,0.0
1960-05-13,0.0,0.0,0.0,0.0,395.7,0.0,0.0,0.0,0.0,0.0,0.0,228.25,0.0,0.0,0.0,0.0
1960-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.45,0.0,0.0
1960-05-15,0.0,0.0,0.0,0.0,131.09,0.0,0.0,0.0,28.36,0.0,0.0,56.71,0.0,46.19,82.01,0.0
1960-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-17,0.0,473.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.16,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-18,0.0,0.0,0.0,0.0,374.87,0.0,0.0,0.0,0.0,0.0,571.93,0.0,0.0,0.0,0.0,0.0
1960-05-19,0.0,357.63,557.36,0.0,403.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.06,252.22,0.0
1960-05-20,282.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.41,0.0,145.58,0.0,118.57,0.0,384.09
1960-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.72,0.0,0.0,0.0,0.0,0.0
1960-05-22,0.0,0.0,0.0,0.0,149.42,0.0,0.0,0.0,0.0,0.0,260.54,172.39,140.98,0.0,0.0,127.92
1960-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.37,0.0,658.59,0.0,0.0,0.0,270.05,369.54
1960-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.74,320.05,0.0,308.14,0.0,0.0,0.0,0.0
1960-05-25,0.0,0.0,0.0,0.0,249.91,0.0,0.0,0.0,0.0,192.51,245.11,162.18,235.79,0.0,234.52,0.0
1960-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.78,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-27,0.0,0.0,0.0,595.24,0.0,0.0,0.0,0.0,0.0,0.0,276.66,183.05,0.0,0.0,264.7,0.0
1960-05-28,0.0,0.0,0.0,0.0,436.07,0.0,0.0,0.0,0.0,0.0,0.0,377.31,205.71,0.0,0.0,0.0
1960-05-29,0.0,0.0,0.0,245.38,174.43,0.0,547.13,0.0,0.0,67.18,152.07,75.46,0.0,0.0,0.0,149.33
1960-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.8,373.31
1960-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.19,229.09,0.0,303.8,0.0
1960-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.19,559.99,0.0,660.12,0.0
1960-06-02,0.0,0.0,397.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.75,203.63,0.0,270.05,369.54
1960-06-03,0.0,0.0,0.0,0.0,0.0,1088.57,0.0,0.0,0.0,0.0,0.0,158.02,172.31,514.82,0.0,0.0
1960-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.88,240.85,0.0
1960-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.62,50.96,0.0,76.32,0.0,62.16,220.72,188.78
1960-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.37,0.0,0.0,0.0,0.0
1960-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.39,0.0,0.0,403.17,251.21,0.0,0.0,341.91
1960-06-08,0.0,0.0,0.0,546.54,0.0,0.0,0.0,0.0,0.0,149.63,0.0,336.15,0.0,228.16,0.0,0.0
1960-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.3,226.25,0.0,0.0,207.83,0.0,0.0,502.88
1960-06-10,0.0,0.0,0.0,0.0,403.16,0.0,0.0,0.0,0.0,0.0,702.97,0.0,0.0,0.0,0.0,345.14
1960-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.16,365.27,0.0,0.0,0.0,0.0,358.68
1960-06-12,0.0,0.0,0.0,354.06,0.0,0.0,0.0,0.0,0.0,135.71,0.0,217.77,142.47,0.0,0.0,0.0
1960-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.51,0.0,0.0,0.0,0.0
1960-06-14,0.0,0.0,0.0,0.0,385.0,0.0,0.0,0.0,0.0,197.71,0.0,333.12,363.24,0.0,0.0,329.59
