Date,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL,GPR_OIL_MiddleEast,GPR_OIL_Russia,GPR_OIL_USA,GPR_OIL_Venezuela,GPR_OIL_Africa,GPR_OIL_Americas,GPR_OIL_Asia,GPR_OIL_NorthSea,THREATS_GPR_AI,ACTS_GPR_AI
1960-06-05,74.81,48.00,22.72,78.22,22.72,0.00,22.72,0.00,0.00,0.00,0.00,0.00,104.39,32.75
1960-06-06,148.03,46.86,0.00,157.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,234.96,16.74
1960-06-07,125.10,27.97,0.00,133.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.04,34.98
1960-06-08,126.47,122.44,0.00,134.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.65,56.88
1960-06-09,112.22,127.75,55.41,115.94,0.00,0.00,55.41,0.00,0.00,55.41,0.00,0.00,156.27,47.55
1960-06-10,125.71,106.12,0.00,133.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,192.32,47.40
1960-06-11,135.15,87.97,65.41,139.71,0.00,0.00,65.41,0.00,0.00,65.41,0.00,0.00,166.25,71.85
1960-06-12,83.37,98.45,0.00,88.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.95,39.37
1960-06-13,207.94,123.15,0.00,221.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,267.83,106.87
1960-06-14,105.97,127.59,0.00,112.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,136.42,54.71
1960-06-15,150.48,163.06,141.46,151.07,0.00,0.00,0.00,0.00,141.46,0.00,0.00,0.00,209.32,77.69
1960-06-16,194.04,162.49,0.00,206.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,254.52,93.31
1960-06-17,205.94,143.26,0.00,219.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,287.76,121.58
1960-06-18,215.60,95.85,62.37,225.62,0.00,0.00,62.37,0.00,0.00,62.37,0.00,0.00,282.27,130.57
1960-06-19,78.99,54.28,23.55,82.62,0.00,23.55,0.00,0.00,0.00,23.55,0.00,0.00,102.47,62.23
1960-06-20,147.12,44.57,0.00,156.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210.01,69.01
1960-06-21,165.49,86.34,0.00,176.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,219.07,96.96
1960-06-22,139.64,154.28,0.00,148.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,198.05,50.53
1960-06-23,99.33,144.37,0.00,105.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.71,71.43
1960-06-24,136.80,187.09,0.00,145.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,187.62,71.31
1960-06-25,138.00,117.29,122.11,139.04,0.00,0.00,0.00,61.05,61.05,61.05,0.00,0.00,188.12,62.86
1960-06-26,82.96,54.35,47.15,85.30,0.00,23.58,47.15,0.00,0.00,23.58,0.00,0.00,108.36,59.07
1960-06-27,176.21,115.84,86.14,182.10,0.00,0.00,86.14,0.00,0.00,86.14,0.00,0.00,224.93,115.30
1960-06-28,177.27,170.41,0.00,188.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.19,110.07
1960-06-29,199.85,137.00,0.00,212.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,255.73,97.90
1960-06-30,139.43,85.17,277.07,130.43,0.00,110.83,277.07,55.41,0.00,221.66,0.00,0.00,150.49,102.71
1960-07-01,107.04,12.11,63.04,109.92,0.00,0.00,0.00,63.04,0.00,63.04,0.00,0.00,136.09,60.59
1960-07-02,94.53,109.60,285.25,82.06,0.00,171.15,228.20,285.25,0.00,285.25,0.00,0.00,111.23,62.66
1960-07-03,74.03,66.66,49.57,75.63,0.00,24.79,49.57,24.79,0.00,49.57,0.00,0.00,94.93,51.04
1960-07-04,144.82,32.77,170.59,143.13,0.00,85.29,85.29,0.00,0.00,170.59,0.00,0.00,207.87,58.55
1960-07-05,211.95,117.58,87.44,220.09,0.00,87.44,0.00,0.00,0.00,87.44,0.00,0.00,242.02,135.05
1960-07-06,130.51,37.14,257.78,122.19,0.00,0.00,193.33,0.00,0.00,193.33,64.44,0.00,118.92,110.60
1960-07-07,96.02,38.87,0.00,102.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.93,61.11
1960-07-08,164.81,143.07,0.00,175.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,188.58,99.92
1960-07-09,110.68,116.41,173.14,106.59,0.00,129.85,173.14,0.00,0.00,173.14,0.00,0.00,116.04,86.17
