Date,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL
1960-12-23,115.68,83.57,72.5,118.5
1960-12-24,117.63,129.12,0.0,125.32
1960-12-25,67.57,69.12,32.71,69.85
1960-12-26,128.92,118.44,68.5,132.87
1960-12-27,164.72,195.59,0.0,175.49
1960-12-28,180.32,147.26,76.65,187.1
1960-12-29,161.46,126.36,0.0,172.01
1960-12-30,147.39,88.35,0.0,157.03
1960-12-31,166.31,102.18,0.0,177.19
1961-01-01,116.21,93.55,0.0,123.81
1961-01-02,150.75,186.8,0.0,160.61
1961-01-03,232.92,154.04,160.37,237.66
1961-01-04,249.01,151.32,0.0,265.29
1961-01-05,207.44,159.68,0.0,221.01
1961-01-06,208.09,102.85,0.0,221.69
1961-01-07,203.03,156.88,0.0,216.3
1961-01-08,89.84,96.29,23.87,94.15
1961-01-09,143.3,108.53,56.49,148.98
1961-01-10,144.47,49.16,51.18,150.57
1961-01-11,133.18,154.96,0.0,141.89
1961-01-12,146.03,149.99,0.0,155.57
1961-01-13,136.06,136.9,0.0,144.95
1961-01-14,92.32,160.88,0.0,98.35
1961-01-15,75.13,66.15,22.96,78.54
1961-01-16,156.98,157.68,0.0,167.25
1961-01-17,124.99,153.1,0.0,133.16
1961-01-18,141.85,148.02,64.21,146.93
1961-01-19,91.08,117.98,0.0,97.03
1961-01-20,122.28,45.48,0.0,130.27
1961-01-21,114.58,125.92,0.0,122.07
1961-01-22,64.5,53.84,0.0,68.72
1961-01-23,152.02,34.82,0.0,161.95
1961-01-24,156.4,139.28,0.0,166.62
1961-01-25,148.0,149.33,0.0,157.68
1961-01-26,127.42,29.67,51.48,132.39
1961-01-27,150.64,75.12,0.0,160.49
1961-01-28,113.73,122.3,42.44,118.39
1961-01-29,67.85,45.51,26.32,70.56
1961-01-30,147.29,32.93,0.0,156.91
1961-01-31,157.11,143.63,135.94,158.5
1961-02-01,123.64,129.02,61.05,127.73
1961-02-02,120.51,62.87,0.0,128.38
1961-02-03,134.02,175.93,70.45,138.17
1961-02-04,133.32,47.25,0.0,142.04
1961-02-05,80.65,70.69,0.0,85.92
1961-02-06,140.46,164.89,0.0,149.64
1961-02-07,99.02,50.27,0.0,105.49
1961-02-08,140.26,113.31,73.73,144.61
1961-02-09,110.66,75.0,0.0,117.9
1961-02-10,124.26,36.47,63.27,128.24
1961-02-11,109.32,47.75,0.0,116.47
1961-02-12,64.45,32.59,48.47,65.49
1961-02-13,131.94,86.45,0.0,140.57
1961-02-14,191.66,90.0,66.92,199.82
1961-02-15,214.77,183.36,0.0,228.81
1961-02-16,234.49,112.93,0.0,249.82
1961-02-17,166.01,198.19,68.78,172.37
1961-02-18,141.38,151.41,141.46,141.38
1961-02-19,85.05,83.81,0.0,90.61
1961-02-20,204.07,193.14,0.0,217.41
1961-02-21,159.06,85.71,63.74,165.3
1961-02-22,169.69,142.52,67.44,176.38
1961-02-23,144.68,96.19,62.59,150.05
1961-02-24,151.38,51.23,66.67,156.91
1961-02-25,145.2,96.54,0.0,154.7
1961-02-26,89.88,67.53,50.22,92.48
1961-02-27,189.96,155.88,180.31,190.59
1961-02-28,153.6,55.48,0.0,163.64
1961-03-01,177.97,177.49,102.66,182.89
1961-03-02,110.26,112.55,0.0,117.47
1961-03-03,145.36,102.07,66.41,150.53
1961-03-04,168.8,126.36,0.0,179.83
1961-03-05,78.98,38.53,50.14,80.87
1961-03-06,149.16,47.75,0.0,158.91
1961-03-07,161.38,84.98,294.92,152.65
1961-03-08,137.96,64.78,0.0,146.98
1961-03-09,143.81,93.14,0.0,153.21
1961-03-10,132.25,145.34,0.0,140.89
1961-03-11,121.51,103.74,0.0,129.45
1961-03-12,70.44,45.45,26.28,73.32
1961-03-13,164.14,103.92,0.0,174.87
1961-03-14,166.89,55.48,144.4,168.36
1961-03-15,117.25,78.65,68.24,120.46
1961-03-16,91.63,132.39,114.85,90.11
1961-03-17,122.56,110.2,63.74,126.4
1961-03-18,156.15,118.61,0.0,166.36
1961-03-19,85.18,58.1,69.79,86.18
1961-03-20,125.72,184.0,79.82,128.72
1961-03-21,168.21,126.94,0.0,179.21
1961-03-22,201.48,201.83,65.66,210.35
1961-03-23,131.79,137.52,55.06,136.8
1961-03-24,209.38,184.34,0.0,223.07
1961-03-25,195.12,171.16,0.0,207.88
1961-03-26,86.84,56.9,0.0,92.52
1961-03-27,234.36,132.39,200.99,236.54
1961-03-28,214.72,148.87,0.0,228.75
1961-03-29,214.14,217.41,70.73,223.52
1961-03-30,127.04,161.23,0.0,135.35
1961-03-31,173.99,137.2,0.0,185.36
1961-04-01,193.45,205.89,0.0,206.09
1961-04-02,118.46,109.68,27.19,124.43
1961-04-03,195.52,235.4,0.0,208.3
1961-04-04,255.38,164.89,0.0,272.08
1961-04-05,181.51,106.54,0.0,193.38
1961-04-06,187.28,152.94,56.86,195.8
1961-04-07,212.7,231.0,70.73,221.98
1961-04-08,182.65,197.92,0.0,194.6
1961-04-09,80.67,113.63,49.29,82.72
1961-04-10,151.57,95.96,0.0,161.48
1961-04-11,199.02,107.83,0.0,212.03
1961-04-12,197.44,221.98,67.97,205.9
1961-04-13,123.81,41.52,0.0,131.9
1961-04-14,165.58,134.69,0.0,176.41
1961-04-15,131.01,65.33,56.68,135.87
1961-04-16,109.91,94.31,27.27,115.31
1961-04-17,185.16,202.59,0.0,197.27
1961-04-18,268.3,202.59,65.91,281.54
1961-04-19,371.7,333.04,64.21,391.8
1961-04-20,210.74,170.45,49.29,221.3
1961-04-21,282.8,183.16,59.59,297.39
1961-04-22,222.58,171.19,46.9,234.07
1961-04-23,105.35,65.14,0.0,112.24
1961-04-24,275.73,329.57,81.69,288.41
1961-04-25,299.1,355.88,0.0,318.65
1961-04-26,222.46,300.32,135.94,228.12
1961-04-27,155.65,203.96,0.0,165.82
1961-04-28,192.56,164.4,0.0,205.15
1961-04-29,209.38,159.76,63.97,218.88
1961-04-30,122.94,93.11,0.0,130.98
1961-05-01,197.37,142.58,82.47,204.88
1961-05-02,208.11,215.66,70.16,217.13
1961-05-03,182.74,192.11,0.0,194.69
1961-05-04,144.27,69.23,0.0,153.7
1961-05-05,192.4,90.34,0.0,204.98
1961-05-06,113.67,172.53,0.0,121.1
1961-05-07,91.97,95.01,22.48,96.52
1961-05-08,232.21,206.93,0.0,247.39
1961-05-09,133.66,177.37,71.02,137.75
1961-05-10,195.7,135.68,64.21,204.3
1961-05-11,127.72,176.97,0.0,136.07
1961-05-12,129.32,168.34,0.0,137.77
1961-05-13,141.64,46.27,0.0,150.9
1961-05-14,98.92,128.91,0.0,105.39
1961-05-15,177.06,205.71,0.0,188.63
1961-05-16,225.1,184.97,68.78,235.32
1961-05-17,207.51,162.4,70.45,216.47
1961-05-18,166.17,134.87,0.0,177.04
1961-05-19,145.61,140.25,0.0,155.13
1961-05-20,148.12,140.18,187.1,145.57
1961-05-21,104.32,68.03,0.0,111.14
1961-05-22,226.02,167.14,0.0,240.8
1961-05-23,191.45,177.27,65.91,199.66
1961-05-24,188.52,86.66,0.0,200.84
1961-05-25,135.4,48.17,0.0,144.25
1961-05-26,221.33,145.86,0.0,235.8
1961-05-27,148.78,118.23,55.95,154.85
1961-05-28,107.89,88.79,54.38,111.39
1961-05-29,215.15,148.57,77.33,224.16
1961-05-30,169.22,82.2,71.31,175.62
1961-05-31,215.77,147.91,0.0,229.88
1961-06-01,173.27,98.03,0.0,184.6
1961-06-02,177.97,146.4,0.0,189.61
1961-06-03,160.04,132.27,62.59,166.42
1961-06-04,81.73,66.03,21.48,85.67
1961-06-05,176.37,75.29,0.0,187.9
1961-06-06,203.82,110.96,0.0,217.14
1961-06-07,185.47,192.11,0.0,197.6
1961-06-08,176.38,89.8,0.0,187.91
1961-06-09,194.38,177.8,0.0,207.09
1961-06-10,146.99,125.5,59.39,152.72
1961-06-11,88.4,104.46,0.0,94.18
1961-06-12,172.18,155.48,0.0,183.43
1961-06-13,187.41,136.44,0.0,199.67
1961-06-14,218.89,89.38,0.0,233.2
1961-06-15,124.91,83.05,108.08,126.01
1961-06-16,184.15,193.59,0.0,196.19
1961-06-17,195.39,128.57,0.0,208.17
1961-06-18,118.45,94.55,28.95,124.3
1961-06-19,190.68,136.44,0.0,203.15
1961-06-20,165.74,153.1,0.0,176.58
1961-06-21,165.16,187.19,69.6,171.4
1961-06-22,111.48,45.92,0.0,118.76
1961-06-23,152.73,145.86,0.0,162.72
1961-06-24,153.62,105.56,0.0,163.66
1961-06-25,79.43,79.26,0.0,84.62
1961-06-26,214.31,210.01,334.03,206.48
1961-06-27,173.63,108.71,353.66,161.86
1961-06-28,179.78,147.31,353.9,168.4
1961-06-29,162.57,192.85,432.21,144.94
1961-06-30,219.59,229.14,444.36,204.9
1961-07-01,210.56,159.18,424.91,196.55
1961-07-02,107.8,89.86,218.28,100.58
1961-07-03,216.04,133.04,432.84,201.87
1961-07-04,170.98,175.17,379.92,157.31
1961-07-05,237.93,178.76,279.15,235.23
1961-07-06,226.94,179.48,467.12,211.24
1961-07-07,195.19,134.79,420.97,180.43
1961-07-08,154.54,71.38,247.69,148.45
1961-07-09,98.33,91.8,112.44,97.41
1961-07-10,232.8,216.83,0.0,248.02
1961-07-11,170.79,134.79,140.32,172.79
1961-07-12,184.98,144.76,0.0,197.07
1961-07-13,188.68,78.26,58.19,197.22
1961-07-14,131.77,85.35,74.04,135.55
1961-07-15,132.68,189.05,178.92,129.65
1961-07-16,117.89,100.65,110.3,118.39
1961-07-17,234.36,297.87,0.0,249.68
1961-07-18,187.49,178.83,286.42,181.02
1961-07-19,201.65,286.93,0.0,214.83
1961-07-20,213.56,222.85,55.24,223.92
1961-07-21,239.1,318.96,354.2,231.58
1961-07-22,212.56,248.05,430.39,198.32
1961-07-23,129.8,162.53,141.01,129.07
1961-07-24,281.19,167.14,87.0,293.89
1961-07-25,242.28,224.72,73.11,253.34
1961-07-26,272.79,191.8,0.0,290.62
1961-07-27,343.71,356.1,0.0,366.18
1961-07-28,280.39,300.16,0.0,298.73
1961-07-29,186.01,183.31,112.26,190.83
1961-07-30,163.24,144.08,30.0,171.95
1961-07-31,229.42,174.27,82.47,239.03
1961-08-01,252.25,305.21,75.65,263.8
1961-08-02,233.59,287.27,67.97,244.41
1961-08-03,175.75,188.03,54.38,183.68
1961-08-04,250.36,283.28,0.0,266.73
1961-08-05,276.38,209.74,136.47,285.52
1961-08-06,137.08,124.41,0.0,146.04
1961-08-07,191.93,213.02,0.0,204.48
1961-08-08,181.01,257.13,99.15,186.36
1961-08-09,240.74,221.92,144.4,247.04
1961-08-10,193.5,201.91,0.0,206.15
1961-08-11,251.59,255.07,0.0,268.04
1961-08-12,229.11,268.96,0.0,244.09
1961-08-13,116.99,107.08,24.23,123.06
1961-08-14,273.08,247.61,0.0,290.93
1961-08-15,301.87,338.5,0.0,321.61
1961-08-16,259.08,221.86,76.99,270.98
1961-08-17,203.05,190.69,0.0,216.33
1961-08-18,235.23,276.14,75.65,245.66
1961-08-19,195.7,234.36,128.41,200.1
1961-08-20,146.28,116.8,86.86,150.17
1961-08-21,262.17,305.52,93.55,273.2
1961-08-22,267.33,211.57,146.84,275.21
1961-08-23,184.73,211.57,73.42,192.01
1961-08-24,180.89,164.4,0.0,192.71
