Date,GPR_AI,military_conflict,diplomatic_tension,terrorism,civil_war,nuclear_threat,coup,sanctions,other
1969-12-01,139.33,53.8094,52.5456,12.6385,5.2086,2.7958,3.983,0.4596,7.8895
1970-01-01,110.3,42.3983,36.2723,7.8671,12.9613,3.6433,1.9668,0.0967,5.0942
1970-02-01,122.52,48.3712,39.8561,15.6169,6.0822,5.3666,1.0375,0.1789,6.0106
1970-03-01,139.82,49.8595,42.3628,24.1704,6.3011,2.8436,7.3351,0.6463,6.3011
1970-04-01,137.39,64.3751,37.7103,14.5013,7.4878,4.0997,2.8799,0.3727,5.9632
1970-05-01,179.03,114.6549,36.2497,8.8748,7.9612,2.3818,1.5009,0.2937,7.1129
1970-06-01,148.31,75.0586,35.7397,16.9838,8.6674,2.7721,3.0529,0.4211,5.6145
1970-07-01,141.0,53.1255,52.2936,12.7804,7.4867,5.7096,1.5881,1.1722,6.8439
1970-08-01,140.37,43.829,55.0015,19.4356,7.2302,3.6151,1.0329,0.0689,10.1568
1970-09-01,192.96,55.5896,57.4069,49.1398,17.8172,3.9198,0.7127,0.392,7.9821
1970-10-01,150.0,31.2006,61.4551,34.8125,7.6711,4.0248,2.7864,0.2064,7.8431
1970-11-01,118.86,37.808,47.0422,15.9944,3.6588,3.9376,2.6135,0.2788,7.5268
1970-12-01,123.67,37.4221,51.3723,16.1646,8.7097,2.9893,0.8119,0.2583,5.9418
1971-01-01,123.09,43.2023,46.9368,14.0957,6.3339,1.8306,3.6612,0.6224,6.4071
1971-02-01,136.39,69.372,43.9356,7.208,7.0414,2.5416,1.2499,0.625,4.4165
1971-03-01,141.05,55.1343,43.8276,14.6722,13.8781,4.1975,4.1218,0.605,4.6134
1971-04-01,136.4,50.0392,45.2077,8.4504,19.4397,4.6989,1.7052,0.3789,6.4799
1971-05-01,123.76,33.8226,53.9774,12.7866,8.6994,3.4873,2.9998,0.3375,7.6495
1971-06-01,112.12,39.3481,44.1115,8.7663,8.446,2.9221,0.7605,0.2802,7.4853
1971-07-01,131.83,38.9179,57.7341,7.2849,5.1033,4.558,11.9208,0.7791,5.5319
1971-08-01,125.96,33.4143,57.938,7.5182,11.2574,3.6597,5.4895,1.7901,4.8928
1971-09-01,125.49,30.4525,57.075,14.3063,10.2885,4.2055,1.915,1.502,5.7451
1971-10-01,125.86,36.0574,63.2529,8.3955,5.597,5.3817,1.7939,1.5069,3.8748
1971-11-01,127.81,47.7934,48.2788,10.9029,6.3476,4.8914,1.9416,2.5017,5.1527
1971-12-01,167.93,97.3913,44.4596,11.161,6.5934,2.1364,0.6999,1.0314,4.457
1972-01-01,143.61,53.538,51.3512,15.3073,7.7291,3.9211,3.431,0.8295,7.5029
1972-02-01,130.32,39.0278,57.4387,13.397,10.5491,2.0055,2.2863,0.6819,4.9336
1972-03-01,127.17,33.7421,54.6264,17.1183,8.5972,2.2444,3.4997,0.9891,6.3528
1972-04-01,155.44,89.9179,35.9516,11.5559,8.093,1.4007,1.4007,0.3502,6.7701
1972-05-01,180.27,98.2157,42.7525,20.3138,7.798,2.3004,2.3394,1.0137,5.5366
1972-06-01,149.16,57.2344,46.9983,23.3399,9.3997,4.9388,0.3983,0.8762,5.9744
1972-07-01,127.16,46.5248,41.1204,18.5238,10.0647,2.8588,1.449,0.5874,6.031
1972-08-01,127.69,43.5538,46.0266,17.621,5.9845,3.9065,2.7013,0.4156,7.4806
1972-09-01,150.45,48.0032,45.2698,40.814,5.9162,1.9845,3.0704,0.7863,4.6056
1972-10-01,120.51,42.3067,48.0421,12.7865,7.8271,1.3832,2.5978,0.2699,5.2968
1972-11-01,115.51,34.1248,49.5539,16.1241,4.7955,1.7723,2.8495,0.1738,6.1161
1972-12-01,126.01,55.4323,43.6862,14.0684,4.3417,1.3463,0.8751,0.3029,5.9572
1973-01-01,114.1,48.9445,39.9784,11.3428,4.4584,2.3931,0.8196,0.5245,5.6386
1973-02-01,100.72,35.0268,43.1348,5.9459,8.072,1.1892,2.3063,0.5405,4.5045
1973-03-01,101.45,24.5602,40.0168,16.8647,11.8544,1.8011,2.0303,0.1637,4.1589
1973-04-01,96.51,36.2193,34.3923,10.0004,8.1734,0.9616,1.6347,0.5449,4.5835
1973-05-01,86.21,26.5532,31.5379,12.1742,7.0936,1.6616,1.4699,0.4793,5.2403
1973-06-01,78.69,18.825,31.9894,9.1492,6.5822,3.7189,3.5873,0.5924,4.2455
1973-07-01,94.11,23.312,30.8987,12.5181,6.4832,7.3798,7.9661,1.0001,4.552
1973-08-01,99.43,29.4582,30.491,17.1332,7.9571,3.5214,4.5372,0.2709,6.0609
1973-09-01,97.82,14.8329,39.8613,13.7614,4.7546,3.8505,16.0717,0.6027,4.0849
1973-10-01,181.21,109.7441,37.9193,9.7898,2.6106,2.0885,6.7224,6.3308,6.0044
