Date,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL,THREATS_GPR_AI,ACTS_GPR_AI,GPR_OIL_MiddleEast,GPR_OIL_Russia,GPR_OIL_USA,GPR_OIL_Venezuela,GPR_OIL_Africa,GPR_OIL_Americas,GPR_OIL_Asia,GPR_OIL_NorthSea
1960-05-24,159.7,177.94,0.0,170.14,239.56,68.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-25,161.15,184.25,0.0,171.69,219.43,77.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-26,122.81,87.97,0.0,130.84,173.59,59.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-27,175.79,122.79,71.02,182.64,232.43,95.07,0.0,0.0,0.0,0.0,71.02,0.0,0.0,0.0
1960-05-28,188.18,191.8,71.31,195.82,193.66,163.99,71.31,0.0,71.31,0.0,0.0,0.0,0.0,0.0
1960-05-29,74.79,71.78,0.0,79.68,118.93,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-30,115.77,194.72,0.0,123.34,135.28,72.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-05-31,160.1,102.18,0.0,170.56,214.28,83.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-01,135.26,160.45,0.0,144.1,186.59,71.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-02,97.38,42.05,0.0,103.75,118.11,60.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-03,142.92,139.28,0.0,152.26,206.52,56.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-04,155.18,69.4,180.62,153.52,201.24,78.53,0.0,0.0,60.21,0.0,0.0,120.42,60.21,0.0
1960-06-05,74.81,48.0,22.72,78.22,104.39,32.75,22.72,0.0,22.72,0.0,0.0,0.0,0.0,0.0
1960-06-06,148.03,46.86,0.0,157.71,234.96,16.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-07,125.1,27.97,0.0,133.28,185.04,34.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-08,126.47,122.44,0.0,134.74,168.65,56.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-09,112.22,127.75,55.41,115.94,156.27,47.55,0.0,0.0,55.41,0.0,0.0,55.41,0.0,0.0
